id,medicineId,pharmacyId,avgDailySales,avgWeeklySales,avgMonthlySales,medianDailySales,peakMonth,lowMonth,peakDayOfWeek,dataPoints,firstSaleDate,lastSaleDate,daysSinceLastSale,lastCalculated
pattern_med_1_pharm_1,med_1,pharm_1,6.4,2471.73,10848.17,5.0,12,1,0,61039,2022-01-01,2024-12-31,329,2025-11-26 13:03:34
pattern_med_1_pharm_2,med_1,pharm_2,6.4,2471.73,10848.17,5.0,12,1,0,61039,2022-01-01,2024-12-31,329,2025-11-26 13:03:34
pattern_med_1_pharm_3,med_1,pharm_3,6.4,2471.73,10848.17,5.0,12,1,0,61039,2022-01-01,2024-12-31,329,2025-11-26 13:03:35
pattern_med_1_pharm_4,med_1,pharm_4,6.4,2471.73,10848.17,5.0,12,1,0,61039,2022-01-01,2024-12-31,329,2025-11-26 13:03:35
pattern_med_1_pharm_5,med_1,pharm_5,6.4,2471.73,10848.17,5.0,12,1,0,61039,2022-01-01,2024-12-31,329,2025-11-26 13:03:36
pattern_med_2_pharm_1,med_2,pharm_1,6.13,2357.59,10347.19,5.0,12,7,0,60723,2022-01-01,2024-12-31,329,2025-11-26 13:03:36
pattern_med_2_pharm_2,med_2,pharm_2,6.13,2357.59,10347.19,5.0,12,7,0,60723,2022-01-01,2024-12-31,329,2025-11-26 13:03:37
pattern_med_2_pharm_3,med_2,pharm_3,6.13,2357.59,10347.19,5.0,12,7,0,60723,2022-01-01,2024-12-31,329,2025-11-26 13:03:37
pattern_med_2_pharm_4,med_2,pharm_4,6.13,2357.59,10347.19,5.0,12,7,0,60723,2022-01-01,2024-12-31,329,2025-11-26 13:03:38
pattern_med_2_pharm_5,med_2,pharm_5,6.13,2357.59,10347.19,5.0,12,7,0,60723,2022-01-01,2024-12-31,329,2025-11-26 13:03:38
pattern_med_3_pharm_1,med_3,pharm_1,6.01,2305.09,10116.78,5.0,12,3,0,60649,2022-01-01,2024-12-31,329,2025-11-26 13:03:39
pattern_med_3_pharm_2,med_3,pharm_2,6.01,2305.09,10116.78,5.0,12,3,0,60649,2022-01-01,2024-12-31,329,2025-11-26 13:03:39
pattern_med_3_pharm_3,med_3,pharm_3,6.01,2305.09,10116.78,5.0,12,3,0,60649,2022-01-01,2024-12-31,329,2025-11-26 13:03:39
pattern_med_3_pharm_4,med_3,pharm_4,6.01,2305.09,10116.78,5.0,12,3,0,60649,2022-01-01,2024-12-31,329,2025-11-26 13:03:40
pattern_med_3_pharm_5,med_3,pharm_5,6.01,2305.09,10116.78,5.0,12,3,0,60649,2022-01-01,2024-12-31,329,2025-11-26 13:03:40
pattern_med_4_pharm_1,med_4,pharm_1,6.16,2363.16,10371.67,5.0,11,7,0,60579,2022-01-01,2024-12-31,329,2025-11-26 13:03:40
pattern_med_4_pharm_2,med_4,pharm_2,6.16,2363.16,10371.67,5.0,11,7,0,60579,2022-01-01,2024-12-31,329,2025-11-26 13:03:41
